id_inscricao,cor_raca,ensino,estado_civil,nota_matematica,nota_ciencias_natureza,nota_ciencias_humanas,nota_linguagens_codigos,sexo,sigla_uf_prova,tipo_escola,renda_familiar,tem_internet
210061364256,3,1,1,666.2,397.6,542.9,494.3,F,RR,2,G,B
210058858667,3,1,1,401.1,461.3,537.9,510.1,F,RR,2,C,B
210061371006,1,1,1,538.6,585.8,627.1,576.3,F,RR,2,D,B
210058526306,3,1,1,486.8,397.4,361.6,396.0,F,RR,2,D,B
210059372521,5,1,1,577.2,404.7,553.4,426.8,M,RR,2,C,B
210059898535,3,1,1,541.4,510.4,563.9,557.5,F,RR,2,B,B
210058675677,5,1,1,523.7,509.8,558.0,523.4,M,RR,2,B,B
210060094065,3,1,1,504.1,523.8,554.2,571.3,M,RR,2,B,B
210060446493,1,1,1,502.7,483.0,601.1,618.2,F,RR,2,C,B
210060848283,1,1,1,496.9,449.2,542.7,554.7,F,RR,2,E,B
210059821145,5,1,1,436.0,472.1,479.8,498.5,F,RR,2,C,B
210060801390,3,1,1,619.5,576.0,545.8,547.3,F,RR,2,C,B
210060677546,3,1,1,573.1,527.9,529.2,481.1,M,RR,2,J,B
210062028412,4,1,1,564.1,511.7,502.8,483.9,F,RR,2,G,B
210060139847,1,1,1,536.5,504.4,519.9,560.6,F,RR,2,D,B
210060619082,3,1,1,409.1,476.2,426.2,468.6,F,RR,3,C,B
210059300966,1,1,1,598.9,527.0,522.0,590.0,M,RR,2,E,B
210062005259,3,1,1,377.6,327.5,,,M,RR,2,C,B
210058683297,1,1,1,359.8,340.8,422.5,456.1,F,RR,2,B,B
210059273045,5,1,1,560.3,390.4,386.8,529.6,F,RR,2,C,A
210059171805,3,1,1,329.7,442.0,0.0,543.1,F,RR,2,E,B
210059753722,3,1,1,388.7,396.2,431.8,462.9,F,RR,2,B,B
210061479321,3,1,1,654.7,418.2,561.3,561.8,M,RR,3,H,B
210059585475,3,1,1,382.4,510.5,339.0,393.1,M,RR,2,A,B
210060156375,3,1,1,433.6,358.0,486.6,486.8,F,RR,2,A,A
210059234279,3,1,1,354.8,469.5,547.9,464.4,F,RR,2,B,B
210059126029,3,1,1,489.1,451.1,484.7,510.4,F,RR,2,A,B
210060176563,1,1,1,503.6,573.9,644.3,594.2,F,RR,2,H,B
210060679857,1,1,1,568.2,565.3,649.6,554.6,F,RR,2,B,B
210059984020,3,1,1,467.0,465.9,574.2,537.7,F,RR,2,B,B
210058091503,1,1,1,726.6,560.0,658.6,616.4,F,RR,2,D,B
210061990342,3,1,1,486.2,385.1,492.7,517.3,F,RR,2,B,B
210061729788,3,1,1,439.9,330.6,463.5,359.2,F,RR,2,B,B
210059384172,2,1,1,621.9,624.7,662.2,624.2,F,RR,3,F,B
